사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-03,1호선,1,서울역,937177,881217,166618,156515
2021-03,1호선,10,동묘앞,125653,136688,146045,148410
2021-03,1호선,2,시청,468162,470800,63279,61083
2021-03,1호선,3,종각,764393,731560,113573,106197
2021-03,1호선,4,종로3가,428232,386982,265195,248906
2021-03,1호선,5,종로5가,361954,366486,242782,235207
2021-03,1호선,6,동대문,209266,198048,109645,108687
2021-03,1호선,7,신설동,267910,266267,105436,102204
2021-03,1호선,8,제기동,229143,223026,255603,271115
2021-03,1호선,9,청량리(서울시립대입구),325003,322189,247560,247326
2021-03,2호선,11,시청,531959,512059,44864,40331
2021-03,2호선,12,을지로입구,892469,909207,85020,80260
2021-03,2호선,13,을지로3가,468651,459931,66737,65040
2021-03,2호선,14,을지로4가,245458,244853,79628,78219
2021-03,2호선,15,동대문역사문화공원(DDP),273574,309439,48352,50569
2021-03,2호선,16,신당,293181,305687,86373,88520
2021-03,2호선,17,상왕십리,319961,308062,58382,58764
2021-03,2호선,18,왕십리(성동구청),396644,327066,45392,38502
2021-03,2호선,19,한양대,193835,208854,10566,11351
2021-03,2호선,20,뚝섬,510078,549845,50786,51125
2021-03,2호선,21,성수,801379,882490,93446,95241
2021-03,2호선,22,건대입구,882360,929234,79040,82463
2021-03,2호선,23,구의(광진구청),533712,525379,89179,91391
2021-03,2호선,24,강변(동서울터미널),731253,717515,98543,95638
2021-03,2호선,25,잠실나루,301260,292322,69753,69909
2021-03,2호선,26,잠실(송파구청),1658332,1632610,159568,152474
2021-03,2호선,27,잠실새내,470022,474257,86705,86600
2021-03,2호선,28,종합운동장,156931,172498,32941,33818
2021-03,2호선,29,삼성(무역센터),1223868,1250117,97748,89787
2021-03,2호선,30,선릉,1204057,1080207,200288,179197
2021-03,2호선,31,역삼,1111778,1240654,138058,138307
2021-03,2호선,32,강남,2079868,2062016,153359,137434
2021-03,2호선,33,교대(법원.검찰청),746620,841148,128579,143527
2021-03,2호선,34,서초,489234,474371,65307,64738
2021-03,2호선,35,방배,409870,430321,63764,63427
2021-03,2호선,36,사당,837097,937759,151898,146491
2021-03,2호선,37,낙성대(강감찬),654075,628733,93389,95616
2021-03,2호선,38,서울대입구(관악구청),1134242,1120722,162730,156635
2021-03,2호선,39,봉천,528369,484588,125602,126012
2021-03,2호선,40,신림,1521430,1470969,195279,197647
2021-03,2호선,41,신대방,602467,585620,110724,112192
2021-03,2호선,42,구로디지털단지,1460129,1461027,154179,156275
2021-03,2호선,43,대림(구로구청),573136,587385,104705,108569
2021-03,2호선,44,신도림,1167348,1151929,170055,162483
2021-03,2호선,45,문래,485685,498762,66423,65884
2021-03,2호선,46,영등포구청,512092,522057,90436,89410
2021-03,2호선,47,당산,451629,522873,54077,59072
2021-03,2호선,48,합정,769826,813748,60046,60162
2021-03,2호선,49,홍대입구,1381403,1447516,83730,80375
2021-03,2호선,50,신촌,783941,804046,105765,103546
2021-03,2호선,51,이대,303009,317429,39446,40307
2021-03,2호선,52,아현,226484,218411,56121,55892
2021-03,2호선,53,충정로(경기대입구),219943,232769,41682,41479
2021-03,2호선,54,용답,57562,58366,16683,16242
2021-03,2호선,55,신답,33831,38942,8704,9576
2021-03,2호선,56,신설동,65621,63428,29003,30433
2021-03,2호선,57,도림천,30836,31979,6569,6881
2021-03,2호선,58,양천구청,141004,150773,39970,40375
2021-03,2호선,59,신정네거리,216097,224008,61767,63324
2021-03,2호선,60,용두(동대문구청),42656,43498,20432,21982
2021-03,3호선,61,지축,87276,84211,17281,17282
2021-03,3호선,62,구파발,455247,435020,100282,95549
2021-03,3호선,63,연신내,797893,748919,226104,219870
2021-03,3호선,64,불광,330480,355098,120064,132084
2021-03,3호선,65,녹번,333225,298965,64160,63825
2021-03,3호선,66,홍제,354725,335474,123294,121903
2021-03,3호선,67,무악재,81191,81524,24353,26815
2021-03,3호선,68,독립문,132059,141101,62775,62598
2021-03,3호선,69,경복궁(정부서울청사),433175,426911,66959,63476
2021-03,3호선,70,안국,454895,480951,65434,67032
2021-03,3호선,71,종로3가,204054,246274,49856,55580
2021-03,3호선,72,을지로3가,214606,227271,46999,45738
2021-03,3호선,73,충무로,32,0,3,0
2021-03,3호선,74,동대입구,181013,192604,28252,30573
2021-03,3호선,75,약수,277275,270922,69824,66338
2021-03,3호선,76,금호,176738,165194,47266,46941
2021-03,3호선,77,옥수,199402,208935,51291,51037
2021-03,3호선,78,압구정,732438,786950,112515,109346
2021-03,3호선,79,신사,763453,795977,64294,62067
2021-03,3호선,80,잠원,104707,103486,26091,25283
2021-03,3호선,81,고속터미널,1021322,989865,143010,136592
2021-03,3호선,82,교대(법원.검찰청),306386,199096,56497,34799
2021-03,3호선,83,남부터미널(예술의전당),676292,696791,100071,100473
2021-03,3호선,84,양재(서초구청),873889,951248,124946,126346
2021-03,3호선,85,매봉,264389,255447,52527,48557
2021-03,3호선,86,도곡,122613,127811,22550,21097
2021-03,3호선,87,대치,247256,245912,52256,50032
2021-03,3호선,88,학여울,42244,44164,12458,12027
2021-03,3호선,89,대청,210036,192446,48655,47019
2021-03,3호선,90,일원,201430,196515,51336,51211
2021-03,3호선,91,수서,366983,375329,88658,86942
2021-03,3호선,92,가락시장,177674,175677,66203,64527
2021-03,3호선,93,경찰병원,160218,160421,35519,36323
2021-03,3호선,94,오금,139957,126043,23806,23231
2021-03,4호선,100,수유(강북구청),761767,755414,170048,169593
2021-03,4호선,101,미아(서울사이버대학),315081,302628,98403,100500
2021-03,4호선,102,미아사거리,600809,582450,159916,159136
2021-03,4호선,103,길음,448282,434324,97130,97103
2021-03,4호선,104,성신여대입구(돈암),481047,460022,73893,71484
2021-03,4호선,105,한성대입구(삼선교),310753,301503,62989,61965
2021-03,4호선,106,혜화,744258,748028,110278,109036
2021-03,4호선,107,동대문,393745,414920,145986,141728
2021-03,4호선,108,동대문역사문화공원(DDP),347133,321368,49616,44708
2021-03,4호선,109,충무로,564768,581513,101861,102609
2021-03,4호선,110,명동,401332,418133,48699,50216
2021-03,4호선,111,회현(남대문시장),468058,501085,159202,159255
2021-03,4호선,112,서울역,241269,356424,31525,36478
2021-03,4호선,113,숙대입구(갈월),306286,302317,45258,42208
2021-03,4호선,114,삼각지,105910,122042,20549,21222
2021-03,4호선,115,신용산,362337,384573,43195,43449
2021-03,4호선,116,이촌(국립중앙박물관),157387,178909,37978,40855
2021-03,4호선,117,동작(현충원),49343,54017,23174,22825
2021-03,4호선,118,총신대입구(이수),389407,428360,126805,133696
2021-03,4호선,119,사당,594880,496978,71311,70391
2021-03,4호선,120,남태령,26220,22819,7545,7211
2021-03,4호선,95,당고개,269086,242731,79672,78293
2021-03,4호선,96,상계,415280,381901,102103,100510
2021-03,4호선,97,노원,447661,504325,77341,76517
2021-03,4호선,98,창동,534802,571721,171878,177857
2021-03,4호선,99,쌍문,662472,599749,138489,136921
2021-03,경부선,121,서울역,140242,43090,8042,1916
2021-03,경부선,122,남영,222276,233366,31693,33235
2021-03,경부선,123,용산,789936,797147,101117,99944
2021-03,경부선,124,노량진,206548,208835,35553,33622
2021-03,경부선,125,대방,290461,301297,59263,58203
2021-03,경부선,126,영등포,888745,913009,195350,194694
2021-03,경부선,127,신도림,88078,85355,23074,24494
2021-03,경부선,151,신길,215761,178488,42656,39876
2021-03,경부선,249,구로,428729,444235,84456,81807
2021-03,경부선,250,가산디지털단지,415766,494392,30310,33572
2021-03,경부선,251,금천구청,253307,250985,68631,69345
2021-03,경부선,252,석수,225403,199308,42890,41179
2021-03,경부선,253,관악,156097,144513,45570,43341
2021-03,경부선,254,안양,570826,564831,97915,101690
2021-03,경부선,255,명학,198510,198100,37197,36021
2021-03,경부선,256,금정,607513,618317,99868,101216
2021-03,경부선,257,군포,169483,167316,30319,29856
2021-03,경부선,258,의왕,199950,198338,37169,37173
2021-03,경부선,259,성균관대,359687,357989,41719,42055
2021-03,경부선,260,화서,165351,160544,34637,34030
2021-03,경부선,261,수원,892344,937070,116227,119563
2021-03,경부선,262,독산,372424,394824,55668,57476
2021-03,경부선,263,세류,69255,65413,12990,12704
2021-03,경부선,264,병점,329090,334896,48989,48011
2021-03,경부선,265,세마,59427,54571,12916,12149
2021-03,경부선,266,오산대,81458,73968,13764,13062
2021-03,경부선,267,오산,237411,235347,38078,39014
2021-03,경부선,268,진위,35765,31126,6603,6183
2021-03,경부선,269,송탄,102622,97146,18518,17821
2021-03,경부선,270,서정리,158216,153523,24624,24124
2021-03,경부선,271,지제,72402,68382,8852,8297
2021-03,경부선,272,평택,287737,285826,53390,52012
2021-03,경부선,273,성환,93757,92818,16793,16903
2021-03,경부선,274,직산,16125,16547,3874,3732
2021-03,경부선,275,두정,138849,141923,18781,19343
2021-03,경부선,276,천안,108307,108796,40509,40831
2021-03,경부선,277,당정,139887,134520,26365,25209
2021-03,경부선,278,서동탄,33570,29306,7673,7547
2021-03,경부선,279,광명,78498,67133,7324,6876
2021-03,경인선,293,개봉,455260,462530,131418,137522
2021-03,경인선,294,오류동,253120,236213,79112,77562
2021-03,경인선,295,역곡,633917,626188,134281,135964
2021-03,경인선,296,부천,749879,754061,181940,183442
2021-03,경인선,297,송내,640674,640053,103206,102709
2021-03,경인선,298,부평,744323,795986,122938,124600
2021-03,경인선,299,백운,145996,142811,50113,50775
2021-03,경인선,300,동암,342984,346668,81649,82330
2021-03,경인선,301,주안,456616,413010,76270,68542
2021-03,경인선,302,제물포,236131,225145,54618,54378
2021-03,경인선,303,동인천,287941,272079,98479,95018
2021-03,경인선,304,인천,69020,49064,33307,30819
2021-03,경인선,305,구일,134171,137011,37395,37315
2021-03,경인선,306,소사,206317,195667,58423,57121
2021-03,경인선,307,부개,179064,166710,53921,53282
2021-03,경인선,308,간석,123299,117297,39559,37738
2021-03,경인선,309,도원,62702,62546,28017,29418
2021-03,경인선,310,온수(성공회대입구),146253,142622,41276,40283
2021-03,경인선,311,중동,190285,178645,59033,58550
2021-03,경인선,312,도화,81155,73544,33341,32368
2021-03,경원선,128,이촌(국립중앙박물관),80736,61053,23392,19357
2021-03,경원선,129,서빙고,37626,34645,13200,12543
2021-03,경원선,130,한남,84548,80031,24362,22859
2021-03,경원선,131,옥수,1448,805,94,75
2021-03,경원선,132,응봉,38128,34447,15911,15262
2021-03,경원선,133,왕십리(성동구청),327838,367701,50201,55002
2021-03,경원선,134,청량리(서울시립대입구),283835,297687,127375,137134
2021-03,경원선,136,외대앞,165839,164542,38882,40012
2021-03,경원선,137,신이문,171185,156348,60269,58863
2021-03,경원선,138,석계,169076,193173,54378,58084
2021-03,경원선,139,광운대,191390,185553,47139,46328
2021-03,경원선,140,월계,125656,116940,53692,51562
2021-03,경원선,141,녹천,93958,77682,33860,30538
2021-03,경원선,142,창동,7,0,0,0
2021-03,경원선,358,방학,165571,160829,93216,92526
2021-03,경원선,359,도봉,100940,95082,62674,62415
2021-03,경원선,360,도봉산,134666,72060,106595,85063
2021-03,경원선,361,망월사,141148,144250,60903,62661
2021-03,경원선,362,회룡,215837,214033,124411,124375
2021-03,경원선,363,의정부,416113,427118,92932,94728
2021-03,경원선,364,가능,129029,123755,48621,48121
2021-03,경원선,365,녹양,92221,87655,32483,31563
2021-03,경원선,366,양주,164039,152536,47089,45880
2021-03,경원선,367,덕계,62012,54037,18491,17954
2021-03,경원선,368,덕정,125981,121602,30168,30042
2021-03,경원선,369,지행,131199,129271,37462,37328
2021-03,경원선,370,동두천중앙,53411,50951,30099,29731
2021-03,경원선,371,보산,27314,25084,11509,10984
2021-03,경원선,372,동두천,40256,45005,18904,24347
2021-03,경원선,373,소요산,29216,22301,57245,50243
2021-03,안산선,280,산본,350225,379954,83740,84990
2021-03,안산선,281,대야미,109685,96642,28196,26458
2021-03,안산선,282,반월,93201,88984,25911,25433
2021-03,안산선,283,상록수,380285,380519,62735,63929
2021-03,안산선,284,한대앞,202990,202954,38686,39475
2021-03,안산선,285,중앙,444404,462265,49690,48940
2021-03,안산선,286,고잔,203971,197310,30795,29668
2021-03,안산선,287,초지,123718,131585,13757,13887
2021-03,안산선,288,안산,298562,272643,34228,31295
2021-03,안산선,289,신길온천,37812,35045,9111,8922
2021-03,안산선,290,정왕,229890,238852,22401,24144
2021-03,안산선,291,오이도,206612,203139,31948,31417
2021-03,안산선,292,수리산,85446,67086,27961,27045
2021-03,과천선,230,선바위,192996,165255,28957,28542
2021-03,과천선,231,경마공원,23280,23461,8884,8461
2021-03,과천선,232,대공원,44487,47512,39031,40348
2021-03,과천선,233,과천,117667,107133,32530,31085
2021-03,과천선,234,정부과천청사,218018,217057,42197,41388
2021-03,과천선,235,인덕원,540020,550042,88758,91084
2021-03,과천선,236,평촌,404075,397516,54586,54445
2021-03,과천선,237,범계,607529,597327,87439,85670
2021-03,분당선,143,선릉,296159,447151,38668,50365
2021-03,분당선,144,한티,318115,336160,54985,56053
2021-03,분당선,145,도곡,140523,140711,36111,34169
2021-03,분당선,146,구룡,40521,39510,12071,11950
2021-03,분당선,147,개포동,80770,83362,18976,19376
2021-03,분당선,148,대모산입구,69766,63052,23428,22868
2021-03,분당선,149,수서,310620,316738,54645,55667
2021-03,분당선,150,복정,15,0,0,0
2021-03,분당선,313,수원,205073,168840,26938,23364
2021-03,분당선,314,서울숲,238368,243850,24395,23501
2021-03,분당선,315,압구정로데오,469450,519912,40450,39053
2021-03,분당선,316,강남구청,219461,253677,33473,36291
2021-03,분당선,317,선정릉,182051,195218,24569,23801
2021-03,분당선,318,가천대,202225,230318,22600,23737
2021-03,분당선,319,태평,289068,273045,80263,83847
2021-03,분당선,320,모란,419879,411511,152648,164525
2021-03,분당선,321,야탑,553876,582979,124387,124206
2021-03,분당선,322,서현,556416,566619,101048,97381
2021-03,분당선,323,수내,282284,282816,63660,61623
2021-03,분당선,324,정자,395568,412449,56991,56903
2021-03,분당선,325,미금,324151,340979,90940,96241
2021-03,분당선,326,오리,249606,210340,64806,56360
2021-03,분당선,327,이매,117305,110287,34761,32775
2021-03,분당선,328,보정,49078,42577,17056,16490
2021-03,분당선,329,죽전,304039,337333,60094,64264
2021-03,분당선,330,구성,99153,104429,29628,30338
2021-03,분당선,331,신갈,95019,95110,23612,23899
2021-03,분당선,332,기흥,215118,204548,35034,34405
2021-03,분당선,333,상갈,117740,114539,26668,25656
2021-03,분당선,334,청명,95816,91111,15434,15446
2021-03,분당선,335,영통,199322,204060,24273,24350
2021-03,분당선,336,망포,337824,323210,31410,30504
2021-03,분당선,337,매탄권선,114736,110313,16250,15909
2021-03,분당선,338,수원시청,305312,326304,34924,35315
2021-03,분당선,339,매교,64418,65110,15314,15936
2021-03,일산선,374,원흥,213237,203318,48999,47380
2021-03,일산선,375,지축,5,0,0,0
2021-03,일산선,376,삼송,412035,400410,85182,85288
2021-03,일산선,377,원당,233755,221986,72092,71420
2021-03,일산선,378,화정,359755,372726,101675,103672
2021-03,일산선,379,대곡,39452,28521,10609,10121
2021-03,일산선,380,백석,207293,208929,63681,62553
2021-03,일산선,381,마두,144605,150251,55234,57155
2021-03,일산선,382,정발산,158539,161150,41448,38575
2021-03,일산선,383,주엽,164975,163713,72040,73833
2021-03,일산선,384,대화,282496,222091,67639,63343
2021-03,중앙선,135,회기,557811,541076,110351,108661
2021-03,중앙선,152,중랑,107330,102197,43611,42719
2021-03,중앙선,153,상봉(시외버스터미널),126771,130957,36257,35849
2021-03,중앙선,154,망우,146449,142201,61234,62411
2021-03,중앙선,155,양원,33193,33304,14904,14868
2021-03,중앙선,156,구리,293471,301383,73368,74186
2021-03,중앙선,157,도농,213382,193641,52459,51077
2021-03,중앙선,158,양정,14071,11982,8001,7248
2021-03,중앙선,159,덕소,113903,114438,40842,41193
2021-03,중앙선,160,도심,49802,37758,16079,15173
2021-03,중앙선,161,팔당,21994,22589,8339,8438
2021-03,중앙선,162,운길산,16280,14647,11167,11215
2021-03,중앙선,163,양수,33858,33833,19528,19592
2021-03,중앙선,164,신원,3467,2926,3769,3401
2021-03,중앙선,165,국수,12924,12258,8725,8752
2021-03,중앙선,166,아신,10339,10349,5329,5251
2021-03,중앙선,167,오빈,4408,4360,3738,3853
2021-03,중앙선,168,양평,51389,52589,27312,27698
2021-03,중앙선,169,원덕,5267,5101,5914,5732
2021-03,중앙선,170,용문,26882,26301,31546,31393
2021-03,중앙선,171,지평,796,1193,1086,1001
2021-03,장항선,224,봉명,22406,21514,9606,9316
2021-03,장항선,225,쌍용(나사렛대),44211,42314,10371,9920
2021-03,장항선,226,아산,71100,63706,9907,9181
2021-03,장항선,227,배방,22328,21572,5699,5635
2021-03,장항선,228,온양온천,66606,67152,36930,37637
2021-03,장항선,229,신창(순천향대),36965,36796,6026,5582
2021-03,경의선,173,신촌,17829,22849,3237,3596
2021-03,경의선,174,효창공원앞,62861,72769,12872,13915
